kpiId;KpiName;value;DataType;period;StartDate;EndDate;CollectionFrequency
DOMV9a;Domestic Violence Incidents Level - Medium Risk;180.00 Number;Number;2014/2015_Q3;01/10/2014;31/12/2014;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;74.00 Number;Number;2014/2015_Nov;01/11/2014;30/11/2014;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;50.00 Number;Number;2014/2015_Dec;01/12/2014;31/12/2014;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;62.00 Number;Number;2014/2015_Jan;01/01/2015;31/01/2015;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;186.00 Number;Number;2014/2015_Q4;01/01/2015;31/03/2015;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;54.00 Number;Number;2014/2015_Feb;01/02/2015;28/02/2015;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;70.00 Number;Number;2014/2015_Mar;01/03/2015;31/03/2015;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;195.00 Number;Number;2015/2016_Q1;01/04/2015;30/06/2015;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;NC;Number;2015/2016;01/04/2015;31/03/2016;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;66.00 Number;Number;2015/2016_Apr;01/04/2015;30/04/2015;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;75.00 Number;Number;2015/2016_May;01/05/2015;31/05/2015;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;54.00 Number;Number;2015/2016_Jun;01/06/2015;30/06/2015;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;NC;Number;2015/2016_Q2;01/07/2015;30/09/2015;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;66.00 Number;Number;2015/2016_Jul;01/07/2015;31/07/2015;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;NC;Number;2015/2016_Aug;01/08/2015;31/08/2015;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;NC;Number;2015/2016_Sep;01/09/2015;30/09/2015;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;NC;Number;2015/2016_Q3;01/10/2015;31/12/2015;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;NC;Number;2015/2016_Oct;01/10/2015;31/10/2015;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;NC;Number;2015/2016_Nov;01/11/2015;30/11/2015;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;NC;Number;2015/2016_Dec;01/12/2015;31/12/2015;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;NC;Number;2015/2016_Jan;01/01/2016;31/01/2016;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;NC;Number;2015/2016_Q4;01/01/2016;31/03/2016;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;NC;Number;2015/2016_Feb;01/02/2016;29/02/2016;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;NC;Number;2015/2016_Mar;01/03/2016;31/03/2016;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;NC;Number;2016/2017;01/04/2016;31/03/2017;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;NC;Number;2016/2017_Q1;01/04/2016;30/06/2016;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;NC;Number;2016/2017_Q2;01/07/2016;30/09/2016;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;NC;Number;2016/2017_Q3;01/10/2016;31/12/2016;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;NC;Number;2016/2017_Q4;01/01/2017;31/03/2017;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;NA;Number;2018/2019_Apr;01/04/2018;30/04/2018;Monthly
